pm25,pm10,no2,so2,co,o3,new_case
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Moderate,False
IT2,IT3,Heavy,Trace,Moderate,Trace,False
IT4,AQG,Trace,Heavy,Moderate,Heavy,False
IT3,IT3,Heavy,Heavy,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Moderate,Trace,Moderate,False
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Moderate,Heavy,Moderate,Heavy,False
IT3,IT3,Moderate,Moderate,Trace,Trace,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Moderate,Moderate,Heavy,Heavy,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Moderate,Heavy,Moderate,False
IT2,IT3,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Moderate,Moderate,Moderate,Trace,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,False
IT3,AQG,Moderate,Moderate,Moderate,Moderate,False
IT3,IT4,Heavy,Moderate,Heavy,Heavy,False
IT4,AQG,Moderate,Heavy,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Trace,Trace,Trace,Trace,False
IT3,IT4,Moderate,Trace,Heavy,Moderate,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT2,IT3,Moderate,Trace,Heavy,Heavy,False
IT2,IT3,Moderate,Heavy,Heavy,Heavy,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False
IT3,IT4,Moderate,Trace,Heavy,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
AQG,AQG,Trace,Heavy,Trace,Moderate,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Moderate,Heavy,Moderate,Heavy,False
IT3,IT4,Moderate,Moderate,Trace,Moderate,False
IT4,AQG,Moderate,Heavy,Moderate,Moderate,False
IT4,IT4,Moderate,Heavy,Moderate,Heavy,False
AQG,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Trace,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT2,IT3,Heavy,Moderate,Moderate,Trace,False
IT4,AQG,Moderate,Heavy,Moderate,Moderate,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT2,IT3,Moderate,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT2,IT3,Moderate,Moderate,Trace,Moderate,False
IT3,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Heavy,Trace,Moderate,False
IT3,IT4,Moderate,Moderate,Heavy,Moderate,False
IT4,AQG,Trace,Heavy,Moderate,Heavy,False
IT2,IT3,Heavy,Trace,Moderate,Trace,False
IT3,IT4,Moderate,Moderate,Heavy,Heavy,False
IT3,IT4,Heavy,Moderate,Heavy,Heavy,False
IT2,IT3,Heavy,Moderate,Trace,Moderate,False
AQG,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Moderate,Heavy,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,IT4,Trace,Trace,Trace,Heavy,False
IT4,AQG,Moderate,Heavy,Moderate,Heavy,False
IT3,IT3,Trace,Trace,Heavy,Heavy,False
IT2,IT3,Moderate,Moderate,Moderate,Moderate,False
IT4,AQG,Moderate,Heavy,Trace,Moderate,False
IT2,IT2,Heavy,Heavy,Moderate,Moderate,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Moderate,Heavy,Moderate,Moderate,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT3,IT4,Heavy,Moderate,Heavy,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Trace,Trace,Moderate,Heavy,False
IT3,IT4,Heavy,Moderate,Moderate,Moderate,False
IT3,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT2,IT3,Heavy,Moderate,Heavy,Moderate,False
IT2,IT3,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Moderate,Trace,Moderate,Heavy,False
IT4,AQG,Trace,Moderate,Moderate,Heavy,False
IT1,IT2,Heavy,Moderate,Moderate,Moderate,False
IT2,IT2,Trace,Trace,Moderate,Heavy,False
IT1,IT2,Heavy,Heavy,Moderate,Heavy,False
IT4,IT4,Trace,Trace,Trace,Heavy,False
IT4,AQG,Trace,Trace,Moderate,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Moderate,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Moderate,Moderate,Heavy,Moderate,False
IT4,AQG,Moderate,Moderate,Heavy,Heavy,False
IT2,IT3,Moderate,Heavy,Moderate,Trace,False
IT3,IT4,Moderate,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Trace,Moderate,Moderate,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Moderate,Moderate,Heavy,Heavy,False
IT4,AQG,Heavy,Heavy,Trace,Moderate,False
AQG,AQG,Trace,Trace,Moderate,Heavy,False
IT3,IT4,Heavy,Moderate,Heavy,Heavy,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Trace,Trace,Trace,Moderate,False
IT4,IT4,Trace,Trace,Trace,Heavy,False
IT4,AQG,Moderate,Moderate,Heavy,Moderate,False
IT3,IT3,Moderate,Moderate,Heavy,Heavy,False
IT2,IT2,Moderate,Heavy,Heavy,Heavy,False
IT3,IT4,Moderate,Trace,Moderate,Moderate,False
IT3,IT3,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Trace,Heavy,Trace,Moderate,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Moderate,Heavy,Moderate,Heavy,False
IT2,IT3,Moderate,Heavy,Moderate,Moderate,False
IT2,IT2,Moderate,Heavy,Heavy,Heavy,False
IT3,IT4,Moderate,Heavy,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Heavy,Trace,Moderate,False
IT3,IT3,Moderate,Moderate,Moderate,Moderate,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Heavy,Heavy,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Heavy,False
IT4,AQG,Moderate,Moderate,Heavy,Heavy,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False
AQG,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Moderate,Moderate,Moderate,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Moderate,Heavy,Moderate,Moderate,False
IT3,IT3,Moderate,Moderate,Moderate,Trace,False
IT2,IT3,Heavy,Heavy,Heavy,Trace,False
IT3,IT4,Trace,Trace,Trace,Moderate,False
IT3,IT3,Moderate,Moderate,Heavy,Moderate,False
IT3,IT4,Moderate,Moderate,Heavy,Moderate,False
IT3,IT3,Moderate,Moderate,Moderate,Moderate,False
IT3,IT3,Heavy,Moderate,Trace,Trace,False
IT4,AQG,Heavy,Heavy,Heavy,Heavy,False
IT3,IT3,Moderate,Moderate,Moderate,Heavy,False
IT2,IT3,Heavy,Heavy,Heavy,Moderate,False
IT3,IT3,Moderate,Moderate,Moderate,Heavy,False
IT3,IT4,Moderate,Trace,Moderate,Moderate,False
IT3,IT4,Moderate,Moderate,Moderate,Trace,False
IT3,IT3,Trace,Trace,Trace,Moderate,False
IT2,IT3,Trace,Trace,Heavy,Heavy,False
IT4,AQG,Trace,Heavy,Moderate,Heavy,False
IT3,IT3,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Heavy,Moderate,Heavy,Heavy,False
IT3,IT3,Trace,Moderate,Heavy,Heavy,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT2,IT3,Heavy,Moderate,Heavy,Moderate,False
IT4,AQG,Moderate,Trace,Moderate,Moderate,False
IT4,AQG,Trace,Heavy,Moderate,Moderate,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False
IT2,IT3,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Moderate,Heavy,Heavy,Moderate,False
IT2,IT3,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Trace,Trace,Moderate,False
IT3,IT3,Trace,Moderate,Heavy,Heavy,False
IT1,IT2,Heavy,Moderate,Heavy,Trace,False
IT2,IT3,Moderate,Moderate,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Trace,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
AQG,AQG,Trace,Trace,Moderate,Heavy,False
IT3,IT4,Moderate,Heavy,Heavy,Heavy,False
IT4,AQG,Moderate,Trace,Moderate,Heavy,False
IT3,IT4,Trace,Trace,Heavy,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Heavy,False
IT2,IT2,Heavy,Moderate,Heavy,Moderate,False
IT4,IT4,Moderate,Moderate,Heavy,Heavy,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT3,Trace,Moderate,Heavy,Heavy,False
IT3,IT4,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Trace,False
IT4,AQG,Trace,Heavy,Heavy,Heavy,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT3,AQG,Moderate,Moderate,Moderate,Moderate,False
IT3,IT4,Moderate,Heavy,Moderate,Heavy,False
IT2,IT3,Heavy,Moderate,Moderate,Trace,False
IT3,IT4,Trace,Heavy,Heavy,Moderate,False
IT4,AQG,Moderate,Moderate,Trace,Heavy,False
IT4,AQG,Moderate,Trace,Moderate,Moderate,False
AQG,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Moderate,Moderate,Heavy,Moderate,False
IT3,IT4,Moderate,Moderate,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
AQG,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
AQG,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Trace,Moderate,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Moderate,False
IT3,IT3,Moderate,Moderate,Heavy,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Heavy,False
IT2,IT2,Heavy,Moderate,Heavy,Moderate,False
IT4,AQG,Moderate,Heavy,Moderate,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT2,IT2,Trace,Trace,Heavy,Heavy,False
IT3,IT3,Moderate,Moderate,Moderate,Trace,False
IT3,IT4,Moderate,Heavy,Trace,Moderate,False
IT4,AQG,Trace,Moderate,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Trace,False
IT3,IT4,Heavy,Moderate,Heavy,Moderate,False
IT3,IT3,Heavy,Moderate,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Moderate,False
IT3,IT4,Moderate,Moderate,Heavy,Moderate,False
IT3,IT4,Moderate,Trace,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Moderate,Heavy,Moderate,Moderate,False
IT2,IT3,Heavy,Heavy,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,IT4,Trace,Trace,Heavy,Heavy,False
IT2,IT3,Moderate,Moderate,Moderate,Trace,False
IT1,IT2,Moderate,Moderate,Moderate,Moderate,False
IT3,IT4,Moderate,Heavy,Trace,Moderate,False
IT3,IT3,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Moderate,Heavy,Heavy,Trace,False
IT3,IT4,Moderate,Moderate,Moderate,Heavy,False
IT3,IT4,Moderate,Heavy,Heavy,Trace,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT2,IT2,Heavy,Moderate,Heavy,Heavy,False
IT3,IT3,Trace,Moderate,Heavy,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Moderate,Heavy,Heavy,Moderate,False
IT4,AQG,Trace,Moderate,Trace,Moderate,False
IT3,IT4,Heavy,Moderate,Moderate,Moderate,False
AQG,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Trace,Heavy,Moderate,Heavy,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Moderate,Moderate,Heavy,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Trace,Moderate,Heavy,False
IT2,IT3,Heavy,Heavy,Moderate,Heavy,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Moderate,Heavy,Heavy,Trace,False
AQG,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,IT4,Trace,Trace,Moderate,Heavy,False
IT3,IT3,Trace,Trace,Heavy,Heavy,False
IT4,AQG,Moderate,Heavy,Heavy,Heavy,False
IT2,IT3,Heavy,Heavy,Moderate,Heavy,False
AQG,AQG,Trace,Trace,Trace,Heavy,False
IT4,AQG,Trace,Heavy,Moderate,Moderate,False
IT2,IT2,Heavy,Moderate,Heavy,Moderate,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Moderate,Moderate,Heavy,Moderate,False
IT3,IT4,Trace,Trace,Heavy,Heavy,False
IT3,IT4,Heavy,Moderate,Moderate,Moderate,False
IT3,IT3,Moderate,Moderate,Moderate,Moderate,False
IT3,IT3,Moderate,Moderate,Heavy,Heavy,False
IT2,IT3,Heavy,Moderate,Trace,Moderate,False
IT3,IT4,Moderate,Heavy,Moderate,Trace,False
IT3,IT3,Moderate,Moderate,Heavy,Heavy,False
IT1,IT2,Heavy,Moderate,Heavy,Trace,False
IT3,IT3,Moderate,Trace,Moderate,Moderate,False
IT4,AQG,Moderate,Heavy,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT2,IT3,Moderate,Moderate,Heavy,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Moderate,False
IT3,IT4,Heavy,Heavy,Moderate,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Trace,False
IT2,IT3,Heavy,Heavy,Moderate,Moderate,False
IT3,IT3,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Moderate,Moderate,Trace,False
IT3,IT4,Trace,Heavy,Heavy,Moderate,False
IT4,AQG,Moderate,Heavy,Heavy,Moderate,False
IT2,IT3,Moderate,Moderate,Trace,Moderate,False
IT4,IT4,Trace,Trace,Trace,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Moderate,Moderate,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Trace,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Heavy,Trace,Moderate,False
IT3,IT4,Moderate,Trace,Moderate,Moderate,False
IT1,IT2,Heavy,Heavy,Heavy,Moderate,False
IT2,IT3,Moderate,Moderate,Moderate,Moderate,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
AQG,AQG,Trace,Moderate,Trace,Heavy,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Moderate,Moderate,Heavy,Moderate,False
IT2,IT3,Moderate,Heavy,Heavy,Moderate,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT3,IT4,Moderate,Moderate,Heavy,Heavy,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Moderate,Trace,Heavy,Heavy,False
AQG,AQG,Trace,Trace,Trace,Trace,False
IT2,IT3,Moderate,Moderate,Heavy,Moderate,False
IT3,IT4,Moderate,Heavy,Heavy,Trace,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT3,IT3,Heavy,Moderate,Moderate,Moderate,False
IT2,IT3,Moderate,Trace,Heavy,Heavy,False
IT4,AQG,Moderate,Trace,Trace,Moderate,False
IT4,IT4,Trace,Trace,Trace,Moderate,False
IT3,IT3,Trace,Heavy,Moderate,Heavy,False
IT3,IT3,Trace,Moderate,Heavy,Heavy,False
IT3,IT4,Heavy,Moderate,Moderate,Moderate,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Heavy,Moderate,Heavy,False
IT2,IT3,Moderate,Moderate,Trace,Moderate,False
IT3,IT4,Moderate,Moderate,Heavy,Heavy,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False
IT3,IT3,Heavy,Trace,Heavy,Heavy,False
IT2,IT3,Heavy,Moderate,Moderate,Heavy,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT3,IT4,Trace,Trace,Trace,Moderate,False
IT4,AQG,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT3,Trace,Trace,Heavy,Heavy,False
IT3,IT4,Moderate,Heavy,Heavy,Trace,False
IT3,AQG,Moderate,Moderate,Moderate,Moderate,False
IT2,IT3,Moderate,Moderate,Trace,Trace,False
IT3,IT4,Heavy,Moderate,Trace,Trace,False
IT3,IT4,Moderate,Trace,Heavy,Moderate,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT3,IT4,Moderate,Moderate,Heavy,Moderate,False
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Heavy,Moderate,Heavy,False
AQG,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Moderate,Heavy,Heavy,False
IT4,IT4,Moderate,Moderate,Heavy,Heavy,False
IT4,AQG,Trace,Moderate,Trace,Heavy,False
IT3,IT4,Moderate,Heavy,Heavy,Trace,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Moderate,False
IT2,IT3,Moderate,Moderate,Heavy,Moderate,False
IT3,IT3,Trace,Trace,Trace,Moderate,False
IT3,IT4,Heavy,Moderate,Moderate,Moderate,False
IT2,IT2,Trace,Trace,Trace,Moderate,False
IT2,IT3,Heavy,Moderate,Moderate,Trace,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT3,IT4,Heavy,Moderate,Heavy,Heavy,False
IT3,IT4,Moderate,Heavy,Heavy,Trace,False
IT1,IT2,Heavy,Heavy,Heavy,Heavy,False
IT2,IT3,Moderate,Moderate,Heavy,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Moderate,False
IT3,IT3,Moderate,Moderate,Moderate,Moderate,False
IT4,AQG,Moderate,Heavy,Heavy,Heavy,False
IT4,AQG,Trace,Heavy,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT2,IT2,Heavy,Heavy,Heavy,Heavy,False
IT4,IT4,Moderate,Moderate,Heavy,Heavy,False
IT3,IT4,Heavy,Moderate,Moderate,Moderate,False
IT2,IT3,Heavy,Trace,Moderate,Moderate,False
IT4,AQG,Trace,Moderate,Moderate,Moderate,False
IT4,IT4,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Moderate,Moderate,Moderate,Moderate,False
IT3,IT4,Moderate,Heavy,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT2,IT3,Moderate,Trace,Moderate,Moderate,False
IT3,IT4,Moderate,Trace,Moderate,Moderate,False
IT2,IT3,Heavy,Moderate,Heavy,Heavy,False
IT1,IT2,Trace,Trace,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Moderate,Trace,Moderate,False
AQG,AQG,Trace,Heavy,Moderate,Moderate,False
IT3,IT3,Heavy,Moderate,Trace,Trace,False
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Moderate,Trace,Heavy,False
IT4,IT4,Moderate,Moderate,Heavy,Heavy,False
IT4,AQG,Moderate,Trace,Trace,Moderate,False
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Heavy,Heavy,Heavy,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT4,AQG,Moderate,Trace,Trace,Moderate,False
IT2,IT2,Heavy,Moderate,Heavy,Moderate,False
IT3,IT4,Heavy,Heavy,Moderate,Trace,False
IT3,IT4,Moderate,Heavy,Moderate,Moderate,False
IT2,IT3,Moderate,Moderate,Moderate,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Moderate,False
IT2,IT3,Heavy,Moderate,Moderate,Trace,False
IT3,IT3,Heavy,Heavy,Moderate,Moderate,False
AQG,AQG,Trace,Trace,Moderate,Heavy,False
IT2,IT3,Heavy,Moderate,Moderate,Moderate,False
IT3,IT3,Heavy,Heavy,Heavy,Moderate,False
IT3,IT4,Moderate,Trace,Moderate,Moderate,False
IT4,IT4,Trace,Trace,Moderate,Heavy,False
IT3,IT4,Moderate,Moderate,Heavy,Trace,False
IT3,IT3,Moderate,Heavy,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Moderate,Moderate,Heavy,Trace,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Trace,Heavy,Moderate,Heavy,False
IT3,IT4,Moderate,Moderate,Moderate,Trace,False
IT3,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT3,Moderate,Moderate,Heavy,Moderate,False
IT1,IT2,Heavy,Moderate,Heavy,Trace,False
IT2,IT3,Heavy,Moderate,Moderate,Trace,False
IT4,AQG,Moderate,Moderate,Heavy,Moderate,False
IT4,AQG,Moderate,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Moderate,Heavy,Moderate,False
IT3,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Moderate,Moderate,Heavy,Moderate,False
IT3,IT3,Trace,Moderate,Heavy,Heavy,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT3,IT3,Moderate,Moderate,Trace,Trace,False
IT2,IT2,Heavy,Trace,Heavy,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Moderate,False
IT3,IT4,Moderate,Trace,Moderate,Trace,False
IT4,AQG,Trace,Trace,Trace,Heavy,False
IT3,IT4,Moderate,Moderate,Heavy,Heavy,False
IT3,IT4,Heavy,Heavy,Moderate,Heavy,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT3,IT3,Heavy,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Heavy,Moderate,Moderate,Moderate,False
IT4,IT4,Trace,Trace,Trace,Heavy,False
IT4,AQG,Moderate,Trace,Trace,Moderate,False
IT4,AQG,Moderate,Trace,Trace,Moderate,False
IT3,IT4,Trace,Heavy,Moderate,Moderate,False
IT2,IT3,Moderate,Moderate,Moderate,Trace,False
IT3,IT4,Moderate,Moderate,Heavy,Moderate,False
IT3,IT4,Heavy,Moderate,Heavy,Heavy,False
IT4,AQG,Trace,Moderate,Moderate,Moderate,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Heavy,Heavy,Moderate,Trace,False
IT3,IT3,Heavy,Heavy,Moderate,Trace,False
IT4,AQG,Heavy,Heavy,Moderate,Moderate,False
IT3,IT3,Trace,Trace,Trace,Moderate,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT4,AQG,Moderate,Heavy,Moderate,Heavy,False
IT4,AQG,Moderate,Trace,Trace,Moderate,False
IT3,IT3,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Moderate,Heavy,Moderate,Moderate,False
IT4,AQG,Moderate,Moderate,Moderate,Heavy,False
IT3,IT4,Heavy,Heavy,Trace,Moderate,False
IT4,AQG,Trace,Moderate,Trace,Heavy,False
IT4,AQG,Trace,Trace,Trace,Moderate,False
IT3,IT4,Moderate,Trace,Trace,Heavy,False
IT3,IT4,Moderate,Heavy,Moderate,Heavy,False
IT4,AQG,Trace,Trace,Moderate,Heavy,False
IT2,IT3,Heavy,Heavy,Heavy,Heavy,False
IT3,IT4,Moderate,Moderate,Heavy,Heavy,False
IT2,IT3,Heavy,Trace,Heavy,Moderate,False
IT2,IT2,Moderate,Moderate,Moderate,Moderate,False
IT2,IT2,Heavy,Heavy,Moderate,Moderate,False
IT3,IT3,Heavy,Moderate,Moderate,Trace,False
IT3,IT4,Moderate,Trace,Heavy,Moderate,False
IT3,IT3,Trace,Moderate,Heavy,Heavy,False
IT3,IT4,Trace,Trace,Trace,Moderate,False
IT4,AQG,Moderate,Heavy,Trace,Moderate,False
